Date : 2024-02-14 07:02:10
Directory : /Users/elias/Desktop/Portfolio/book-club-laravel-angular
Total : 297 files,  31309 codes, 1754 comments, 1927 blanks, all 34990 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| books-management-php-angular/client/book-management/src/app/_services                                                                                                                                                                     |         11 |        516 |         23 |         89 |        628 |
| books-management-php-angular/client/book-management/src/app/_services/account-service                                                                                                                                                     |          2 |        116 |          4 |         18 |        138 |
| books-management-php-angular/client/book-management/src/app/_services/book-param-service                                                                                                                                                  |          2 |        110 |          0 |         16 |        126 |
| books-management-php-angular/client/book-management/src/app/_services/books-service                                                                                                                                                       |          3 |        192 |          4 |         31 |        227 |
| books-management-php-angular/client/book-management/src/app/_services/cart-service                                                                                                                                                        |          2 |         56 |          0 |         12 |         68 |
| books-management-php-angular/client/book-management/src/app/_services/customers-service                                                                                                                                                   |          2 |         42 |         15 |         12 |         69 |
| books-management-php-angular/client/book-management/src/app/components                                                                                                                                                                    |         43 |      1,526 |         14 |        226 |      1,766 |
| books-management-php-angular/client/book-management/src/app/components/admin-dashboard                                                                                                                                                    |          6 |        182 |          1 |         26 |        209 |
| books-management-php-angular/client/book-management/src/app/components/admin-dashboard/admin-dashboard                                                                                                                                    |          3 |         27 |          0 |          9 |         36 |
| books-management-php-angular/client/book-management/src/app/components/admin-dashboard/admin-sidebar                                                                                                                                      |          3 |        155 |          1 |         17 |        173 |
| books-management-php-angular/client/book-management/src/app/components/bottom-sheet                                                                                                                                                       |          3 |         90 |          0 |         16 |        106 |
| books-management-php-angular/client/book-management/src/app/components/breadcrumbs                                                                                                                                                        |          4 |         58 |          0 |         14 |         72 |
| books-management-php-angular/client/book-management/src/app/components/footer                                                                                                                                                             |          3 |        158 |          1 |         14 |        173 |
| books-management-php-angular/client/book-management/src/app/components/header                                                                                                                                                             |         12 |        484 |         11 |         76 |        571 |
| books-management-php-angular/client/book-management/src/app/components/header/action-bar                                                                                                                                                  |          3 |        126 |          3 |         20 |        149 |
| books-management-php-angular/client/book-management/src/app/components/header/cart-item                                                                                                                                                   |          3 |         91 |          0 |         19 |        110 |
| books-management-php-angular/client/book-management/src/app/components/header/header                                                                                                                                                      |          3 |         71 |          0 |         12 |         83 |
| books-management-php-angular/client/book-management/src/app/components/header/nav-bar                                                                                                                                                     |          3 |        196 |          8 |         25 |        229 |
| books-management-php-angular/client/book-management/src/app/components/loading-state                                                                                                                                                      |          3 |         57 |          0 |         10 |         67 |
| books-management-php-angular/client/book-management/src/app/components/modals                                                                                                                                                             |          9 |        464 |          1 |         62 |        527 |
| books-management-php-angular/client/book-management/src/app/components/modals/add-book-modal                                                                                                                                              |          3 |        201 |          1 |         21 |        223 |
| books-management-php-angular/client/book-management/src/app/components/modals/cart-modal                                                                                                                                                  |          3 |        146 |          0 |         22 |        168 |
| books-management-php-angular/client/book-management/src/app/components/modals/post-modal                                                                                                                                                  |          3 |        117 |          0 |         19 |        136 |
| books-management-php-angular/client/book-management/src/app/components/paginator                                                                                                                                                          |          3 |         33 |          0 |          8 |         41 |
| books-management-php-angular/client/book-management/src/app/pages                                                                                                                                                                         |        109 |      4,058 |         41 |        650 |      4,749 |
| books-management-php-angular/client/book-management/src/app/pages/admin                                                                                                                                                                   |         20 |        891 |         16 |        123 |      1,030 |
| books-management-php-angular/client/book-management/src/app/pages/admin/admin-books                                                                                                                                                       |          6 |        334 |         13 |         51 |        398 |
| books-management-php-angular/client/book-management/src/app/pages/admin/admin-books/admin-books-collection-container                                                                                                                      |          3 |         99 |          3 |         15 |        117 |
| books-management-php-angular/client/book-management/src/app/pages/admin/admin-books/admin-books-collection-overview                                                                                                                       |          3 |        235 |         10 |         36 |        281 |
| books-management-php-angular/client/book-management/src/app/pages/admin/admin-customers                                                                                                                                                   |          6 |        284 |          3 |         42 |        329 |
| books-management-php-angular/client/book-management/src/app/pages/admin/admin-customers/admin-customer-collection-container                                                                                                               |          3 |         34 |          0 |          8 |         42 |
| books-management-php-angular/client/book-management/src/app/pages/admin/admin-customers/admin-customer-collection-overview                                                                                                                |          3 |        250 |          3 |         34 |        287 |
| books-management-php-angular/client/book-management/src/app/pages/admin/admin-stats                                                                                                                                                       |          3 |        109 |          0 |         12 |        121 |
| books-management-php-angular/client/book-management/src/app/pages/admin/adminspace                                                                                                                                                        |          5 |        164 |          0 |         18 |        182 |
| books-management-php-angular/client/book-management/src/app/pages/portal                                                                                                                                                                  |          9 |        589 |          4 |         79 |        672 |
| books-management-php-angular/client/book-management/src/app/pages/portal/login                                                                                                                                                            |          3 |        169 |          1 |         22 |        192 |
| books-management-php-angular/client/book-management/src/app/pages/portal/logout                                                                                                                                                           |          3 |         46 |          0 |         10 |         56 |
| books-management-php-angular/client/book-management/src/app/pages/portal/register                                                                                                                                                         |          3 |        374 |          3 |         47 |        424 |
| books-management-php-angular/client/book-management/src/app/pages/users                                                                                                                                                                   |         80 |      2,578 |         21 |        448 |      3,047 |
| books-management-php-angular/client/book-management/src/app/pages/users/books                                                                                                                                                             |         21 |        903 |         13 |        145 |      1,061 |
| books-management-php-angular/client/book-management/src/app/pages/users/books/books-collection-container                                                                                                                                  |          3 |        193 |          4 |         34 |        231 |
| books-management-php-angular/client/book-management/src/app/pages/users/books/books-collection-grid-overview                                                                                                                              |          3 |         59 |          0 |         10 |         69 |
| books-management-php-angular/client/book-management/src/app/pages/users/books/books-collection-list-overview                                                                                                                              |          3 |         43 |          0 |          8 |         51 |
| books-management-php-angular/client/book-management/src/app/pages/users/books/books-filters                                                                                                                                               |          3 |        242 |          9 |         43 |        294 |
| books-management-php-angular/client/book-management/src/app/pages/users/books/books-grid-item                                                                                                                                             |          3 |         57 |          0 |         11 |         68 |
| books-management-php-angular/client/book-management/src/app/pages/users/books/books-list-item                                                                                                                                             |          3 |         67 |          0 |         13 |         80 |
| books-management-php-angular/client/book-management/src/app/pages/users/books/books-sort-bar                                                                                                                                              |          3 |        242 |          0 |         26 |        268 |
| books-management-php-angular/client/book-management/src/app/pages/users/checkout                                                                                                                                                          |          6 |        151 |          0 |         26 |        177 |
| books-management-php-angular/client/book-management/src/app/pages/users/checkout/checkout-container                                                                                                                                       |          3 |         97 |          0 |         15 |        112 |
| books-management-php-angular/client/book-management/src/app/pages/users/checkout/order-item                                                                                                                                               |          3 |         54 |          0 |         11 |         65 |
| books-management-php-angular/client/book-management/src/app/pages/users/confirmation                                                                                                                                                      |          3 |         45 |          0 |          9 |         54 |
| books-management-php-angular/client/book-management/src/app/pages/users/confirmation/confirmation-container                                                                                                                               |          3 |         45 |          0 |          9 |         54 |
| books-management-php-angular/client/book-management/src/app/pages/users/home                                                                                                                                                              |         12 |        233 |          0 |         50 |        283 |
| books-management-php-angular/client/book-management/src/app/pages/users/home/home-container                                                                                                                                               |          3 |         90 |          0 |         17 |        107 |
| books-management-php-angular/client/book-management/src/app/pages/users/home/home-post-item                                                                                                                                               |          3 |         27 |          0 |          9 |         36 |
| books-management-php-angular/client/book-management/src/app/pages/users/home/home-post-prompt                                                                                                                                             |          3 |         89 |          0 |         15 |        104 |
| books-management-php-angular/client/book-management/src/app/pages/users/home/home-posts-container                                                                                                                                         |          3 |         27 |          0 |          9 |         36 |
| books-management-php-angular/client/book-management/src/app/pages/users/profile                                                                                                                                                           |         18 |        655 |          2 |        107 |        764 |
| books-management-php-angular/client/book-management/src/app/pages/users/profile/profile-change-photo                                                                                                                                      |          3 |        105 |          0 |         15 |        120 |
| books-management-php-angular/client/book-management/src/app/pages/users/profile/profile-container                                                                                                                                         |          3 |         55 |          0 |          8 |         63 |
| books-management-php-angular/client/book-management/src/app/pages/users/profile/profile-details-tab                                                                                                                                       |          3 |         75 |          0 |         17 |         92 |
| books-management-php-angular/client/book-management/src/app/pages/users/profile/profile-edit-tab                                                                                                                                          |          3 |        196 |          2 |         28 |        226 |
| books-management-php-angular/client/book-management/src/app/pages/users/profile/profile-favourites-tab                                                                                                                                    |          3 |        118 |          0 |         23 |        141 |
| books-management-php-angular/client/book-management/src/app/pages/users/profile/profile-settings-tabs                                                                                                                                     |          3 |        106 |          0 |         16 |        122 |
| books-management-php-angular/client/book-management/src/app/pages/users/single-book                                                                                                                                                       |         15 |        513 |          6 |         98 |        617 |
| books-management-php-angular/client/book-management/src/app/pages/users/single-book (Files)                                                                                                                                               |          3 |        352 |          6 |         59 |        417 |
| books-management-php-angular/client/book-management/src/app/pages/users/single-book/add-button                                                                                                                                            |          3 |         47 |          0 |         10 |         57 |
| books-management-php-angular/client/book-management/src/app/pages/users/single-book/favourite-button                                                                                                                                      |          3 |         40 |          0 |         10 |         50 |
| books-management-php-angular/client/book-management/src/app/pages/users/single-book/switch                                                                                                                                                |          3 |         39 |          0 |          9 |         48 |
| books-management-php-angular/client/book-management/src/app/pages/users/single-book/toggle                                                                                                                                                |          3 |         35 |          0 |         10 |         45 |
| books-management-php-angular/client/book-management/src/app/pages/users/workspace                                                                                                                                                         |          5 |         78 |          0 |         13 |         91 |
| books-management-php-angular/client/book-management/src/assets                                                                                                                                                                            |          7 |         49 |          2 |          0 |         51 |
| books-management-php-angular/client/book-management/src/environments                                                                                                                                                                      |          2 |          8 |          0 |          2 |         10 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                                                                  | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/README.md                                                                                                                                                                        | Markdown   |          1 |          0 |          0 |          1 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/README.md                                                                                                                                  | Markdown   |         45 |          0 |         22 |         67 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Console/Kernel.php                                                                                                                     | PHP        |         15 |          7 |          6 |         28 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Exceptions/Handler.php                                                                                                                 | PHP        |         17 |          9 |          5 |         31 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Filters/ApiFilter.php                                                                                                                  | PHP        |         31 |          0 |         11 |         42 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Filters/V1/BooksFilter.php                                                                                                             | PHP        |         27 |          0 |          5 |         32 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Filters/V1/CustomersFilter.php                                                                                                         | PHP        |         28 |          0 |          5 |         33 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Controllers/Api/V1/AuthController.php                                                                                             | PHP        |        112 |         16 |         37 |        165 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Controllers/Api/V1/BookController.php                                                                                             | PHP        |        117 |         24 |         17 |        158 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Controllers/Api/V1/FavouriteController.php                                                                                        | PHP        |         39 |         26 |         11 |         76 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Controllers/Api/V1/UserController.php                                                                                             | PHP        |         46 |         15 |         17 |         78 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Controllers/Controller.php                                                                                                        | PHP        |          9 |          0 |          4 |         13 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Kernel.php                                                                                                                        | PHP        |         41 |         21 |          7 |         69 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Middleware/Authenticate.php                                                                                                       | PHP        |         11 |          3 |          4 |         18 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Middleware/EncryptCookies.php                                                                                                     | PHP        |          8 |          6 |          4 |         18 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Middleware/PreventRequestsDuringMaintenance.php                                                                                   | PHP        |          8 |          6 |          4 |         18 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Middleware/RedirectIfAuthenticated.php                                                                                            | PHP        |         20 |          5 |          6 |         31 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Middleware/TrimStrings.php                                                                                                        | PHP        |         11 |          5 |          4 |         20 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Middleware/TrustHosts.php                                                                                                         | PHP        |         12 |          5 |          4 |         21 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Middleware/TrustProxies.php                                                                                                       | PHP        |         14 |         10 |          5 |         29 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Middleware/ValidateSignature.php                                                                                                  | PHP        |          8 |         11 |          4 |         23 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Middleware/VerifyCsrfToken.php                                                                                                    | PHP        |          8 |          6 |          4 |         18 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Requests/StoreBookRequest.php                                                                                                     | PHP        |         38 |          9 |          7 |         54 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Requests/StoreCustomerRequest.php                                                                                                 | PHP        |         50 |          8 |         10 |         68 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Requests/StoreFavouriteRequest.php                                                                                                | PHP        |         46 |          9 |         11 |         66 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Requests/StoreUserRequest.php                                                                                                     | PHP        |         48 |         14 |         10 |         72 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Requests/UpdateBookRequest.php                                                                                                    | PHP        |         69 |          8 |         15 |         92 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Requests/UpdateCustomerRequest.php                                                                                                | PHP        |         64 |          8 |         12 |         84 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Requests/UpdateFavouriteRequest.php                                                                                               | PHP        |         15 |          9 |          5 |         29 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Requests/UpdateUserRequest.php                                                                                                    | PHP        |         67 |          8 |         12 |         87 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Resources/V1/BookCollection.php                                                                                                   | PHP        |         26 |         27 |         18 |         71 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Resources/V1/BookResource.php                                                                                                     | PHP        |         21 |          5 |          4 |         30 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Resources/V1/FavouriteCollection.php                                                                                              | PHP        |         11 |          5 |          4 |         20 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Resources/V1/FavouriteResource.php                                                                                                | PHP        |         22 |          5 |          4 |         31 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Resources/V1/UserCollection.php                                                                                                   | PHP        |         15 |          5 |          5 |         25 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Http/Resources/V1/UserResource.php                                                                                                     | PHP        |         24 |          5 |          5 |         34 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Models/Book.php                                                                                                                        | PHP        |         43 |          2 |         11 |         56 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Models/Customer.php                                                                                                                    | PHP        |         17 |          0 |          5 |         22 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Models/Favourite.php                                                                                                                   | PHP        |         23 |          0 |          7 |         30 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Models/User.php                                                                                                                        | PHP        |         48 |         24 |         14 |         86 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Policies/BookPolicy.php                                                                                                                | PHP        |         29 |         28 |         10 |         67 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Policies/CustomerPolicy.php                                                                                                            | PHP        |         29 |         28 |         10 |         67 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Policies/FavouritePolicy.php                                                                                                           | PHP        |         29 |         28 |         10 |         67 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Providers/AppServiceProvider.php                                                                                                       | PHP        |         12 |          8 |          5 |         25 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Providers/AuthServiceProvider.php                                                                                                      | PHP        |         11 |         11 |          5 |         27 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Providers/BroadcastServiceProvider.php                                                                                                 | PHP        |         12 |          3 |          5 |         20 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Providers/EventServiceProvider.php                                                                                                     | PHP        |         21 |         12 |          6 |         39 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/app/Providers/RouteServiceProvider.php                                                                                                     | PHP        |         24 |         10 |          7 |         41 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/bootstrap/app.php                                                                                                                          | PHP        |         17 |         30 |          9 |         56 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/composer.json                                                                                                                              | JSON       |         69 |          0 |          1 |         70 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/composer.lock                                                                                                                              | JSON       |      8,489 |          0 |          1 |      8,490 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/app.php                                                                                                                             | PHP        |         31 |        131 |         31 |        193 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/auth.php                                                                                                                            | PHP        |         32 |         74 |         13 |        119 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/broadcasting.php                                                                                                                    | PHP        |         36 |         23 |         13 |         72 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/cache.php                                                                                                                           | PHP        |         59 |         34 |         19 |        112 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/cors.php                                                                                                                            | PHP        |         11 |         12 |         12 |         35 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/database.php                                                                                                                        | PHP        |         83 |         47 |         22 |        152 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/filesystems.php                                                                                                                     | PHP        |         32 |         32 |         13 |         77 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/hashing.php                                                                                                                         | PHP        |         14 |         32 |          9 |         55 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/jwt.php                                                                                                                             | PHP        |         32 |        226 |         44 |        302 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/logging.php                                                                                                                         | PHP        |         79 |         34 |         19 |        132 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/mail.php                                                                                                                            | PHP        |         61 |         54 |         20 |        135 |
